county.x,less_ninth,ninth_twelth,hs_grad,bachelors,median age,percent_enrolled_nursey_school,total.y.y,prop_less_ninth,prop_ninth_twelth,prop_hs_grad,prop_bachelors,prop_born_in_state,prop_born_other_state,prop_foreign_born,prop_below_poverty,prop_white,prop_black,prop_asian,prop_no_parents
"Baldwin County, Alabama",1.3,6.7,26,18.5,43,3.8,231767,5.609081534472121e-6,2.8908343293048622e-5,1.1218163068944242e-4,7.982154491364172e-5,0.5110520479619618,0.3972480983056259,0.0474700884940479,0.09240314626327303,0.8171957181134502,0.07860049101036817,0.008918439639810672,0.010847100752048394
"Calhoun County, Alabama",2.9,10.4,35.2,11.7,39.6,5,116441,2.4905316855746688e-5,8.931561906888468e-5,3.022990183869943e-4,1.0048007145249525e-4,0.692376396630053,0.2593330527906837,0.016368804802432132,0.15297017373605518,0.692075815219725,0.21950172190207917,0.010219767951151227,0.002112657912590926
"Cullman County, Alabama",4.1,13,28.1,12.3,41.9,7.7,87866,4.666196253385837e-5,1.4795256413174606e-4,3.19805157854005e-4,1.3998588760157513e-4,0.7170122686818564,0.20037329570027088,0.02499260237179341,0.09925340859945826,0.90071244850112675,0.01066396558395739,0.005940864498213188,0.0024127648919946283
"DeKalb County, Alabama",10.3,9.4,33,8.7,37.7,4.5,71608,1.4383867724276618e-4,1.3127024913417497e-4,4.60842363981678e-4,1.2149480504971511e-4,0.6718942017651659,0.2549854764830745,0.07007596916545637,0.1835269802256731,0.7879007932074629,0.014607306446207127,0.0035331247905261982,0.0032119316277510893
"Elmore County, Alabama",2,6.1,36,16,39,4.1,87977,2.2733214362844835e-5,6.933630380667674e-5,4.0919785853120704e-4,1.8186571490275868e-4,0.6656739829728224,0.22544528683633222,0.026779726519431214,0.09686622640008184,0.71767621082783,0.20699728338088363,0.007661093240278709,0.006603998772406424
"Etowah County, Alabama",3.1,11.6,30.1,12.3,41.5,5.6,103436,2.9970223133145135e-5,1.121466414014463e-4,2.9100119880892536e-4,1.1891411114118876e-4,0.7755036931049151,0.17245446459646543,0.028993773927839438,0.18556402026373797,0.7597354886113152,0.14642870954019876,0.008962063498201786,0.008498008430333734
"Houston County, Alabama",4.2,10.9,30.2,13.1,40.4,7.7,107202,3.9178373537807134e-5,1.0167720751478518e-4,2.817111621051846e-4,1.2219921270125556e-4,0.6083095464636854,0.3375403443965598,0.03346019663812242,0.1880655211656499,0.6461166769276693,0.2649950560623869,0.011958732113206843,0.004673420272009851
"Jefferson County, Alabama",2,5.8,25.5,21.1,38.3,6.5,674721,2.964188160736067e-6,8.596145666134594e-6,3.7793399049384854e-5,3.127218509576551e-5,0.7397931885920255,0.19466268279777862,0.037193150946835805,0.14577284536867832,0.4884833879485002,0.4169515992536174,0.019428771299544553,0.0032354113774434173
"Lauderdale County, Alabama",4.7,8.4,34.6,13.2,40.4,3.4,93564,5.023299559659698e-5,8.977811978966269e-5,3.6980035056218203e-4,1.4107990252661278e-4,0.6897524688982942,0.2883053311102561,0.010634432046513617,0.15350989696891967,0.8244730879398059,0.09878799538283956,0.00822966098071908,NA
"Lee County, Alabama",3.3,6.2,22.7,18.4,33.3,6,174241,1.893928524285329e-5,3.558289954717891e-5,1.3027932576144534e-4,1.0560086317227288e-4,0.4847481362021568,0.38903013642024553,0.05695559598487153,0.140288451053426,0.6407848898938826,0.2270992475938499,0.049196228212648,0.0021062780860991387
