"","fips","county.x","less_ninth","ninth_twelth","hs_grad","some_college","aa_degree","bachelors","grad_professional","county.y","total.x","born_in_state_of_residence","born_in_other_state","native_born_outside_us","foreign_born","county.x.x","total.y","below_poverty","county.y.y","total.x.x","same_hour_one_year_ago","moved_from_different_county_within_state","moved_from_different_state","moved_from_abroad","county.x.x.x","median age","county.y.y.y","percent_enrolled_nursey_school","county.x.x.x.x","total.y.y","white","black_afam","american_indian_alaska","asian","hawaii_pac_isl","other","two_or_more","county.y.y.y.y","total","gp_householder_no_parent_present"
"1","0500000US01003","Baldwin County, Alabama",1.3,6.7,26,25,10.2,18.5,12.3,"Baldwin County, Alabama","223234","118445","92069","1718","11002","Baldwin County, Alabama",213209,21416,"Baldwin County, Alabama",NA,NA,NA,NA,NA,"Baldwin County, Alabama",43,"Baldwin County, Alabama",3.8,"Baldwin County, Alabama",231767,189399,18217,1582,2067,143,5335,15024,"Baldwin County, Alabama","6927","2514"
"2","0500000US01015","Calhoun County, Alabama",2.9,10.4,35.2,20.7,8.7,11.7,10.3,"Calhoun County, Alabama","113605","80621","30197","881","1906","Calhoun County, Alabama",106102,17812,"Calhoun County, Alabama",NA,NA,NA,NA,NA,"Calhoun County, Alabama",39.6,"Calhoun County, Alabama",5,"Calhoun County, Alabama",116441,80586,25559,487,1190,119,2471,6029,"Calhoun County, Alabama","1578","246"
"3","0500000US01043","Cullman County, Alabama",4.1,13,28.1,25.4,10.8,12.3,6.3,"Cullman County, Alabama","83768","63001","17606","965","2196","Cullman County, Alabama",80206,8721,"Cullman County, Alabama",NA,NA,NA,NA,NA,"Cullman County, Alabama",41.9,"Cullman County, Alabama",7.7,"Cullman County, Alabama",87866,79142,937,408,522,64,2136,4657,"Cullman County, Alabama","4066","212"
"4","0500000US01049","DeKalb County, Alabama",10.3,9.4,33,17.2,13.7,8.7,7.8,"DeKalb County, Alabama","71513","48113","18259","123","5018","DeKalb County, Alabama",68051,13142,"DeKalb County, Alabama",NA,NA,NA,NA,NA,"DeKalb County, Alabama",37.7,"DeKalb County, Alabama",4.5,"DeKalb County, Alabama",71608,56420,1046,1992,253,22,7171,4704,"DeKalb County, Alabama","1216","230"
"5","0500000US01051","Elmore County, Alabama",2,6.1,36,20.6,10.4,16,9,"Elmore County, Alabama","81209","58564","19834","455","2356","Elmore County, Alabama",73538,8522,"Elmore County, Alabama",NA,NA,NA,NA,NA,"Elmore County, Alabama",39,"Elmore County, Alabama",4.1,"Elmore County, Alabama",87977,63139,18211,337,674,32,1343,4241,"Elmore County, Alabama","1920","581"
"6","0500000US01055","Etowah County, Alabama",3.1,11.6,30.1,27,9.1,12.3,6.9,"Etowah County, Alabama","102268","80215","17838","1216","2999","Etowah County, Alabama",98221,19194,"Etowah County, Alabama",NA,NA,NA,NA,NA,"Etowah County, Alabama",41.5,"Etowah County, Alabama",5.6,"Etowah County, Alabama",103436,78584,15146,739,927,54,2729,5257,"Etowah County, Alabama","2318","879"
"7","0500000US01069","Houston County, Alabama",4.2,10.9,30.2,22,10.4,13.1,9.2,"Houston County, Alabama","105882","65212","36185","898","3587","Houston County, Alabama",100993,20161,"Houston County, Alabama","104864","95820","1440","2677","491","Houston County, Alabama",40.4,"Houston County, Alabama",7.7,"Houston County, Alabama",107202,69265,28408,496,1282,63,2097,5591,"Houston County, Alabama","1831","501"
"8","0500000US01073","Jefferson County, Alabama",2,5.8,25.5,21.1,9.6,21.1,15,"Jefferson County, Alabama","658573","499154","131343","2981","25095","Jefferson County, Alabama",620160,98356,"Jefferson County, Alabama","650164","547035","19339","11043","1351","Jefferson County, Alabama",38.3,"Jefferson County, Alabama",6.5,"Jefferson County, Alabama",674721,329590,281326,2321,13109,352,19074,28949,"Jefferson County, Alabama","14297","2183"
"9","0500000US01077","Lauderdale County, Alabama",4.7,8.4,34.6,21.3,10,13.2,7.8,"Lauderdale County, Alabama","92729","64536","26975","223","995","Lauderdale County, Alabama",89102,14363,"Lauderdale County, Alabama",NA,NA,NA,NA,NA,"Lauderdale County, Alabama",40.4,"Lauderdale County, Alabama",3.4,"Lauderdale County, Alabama",93564,77141,9243,368,770,32,1552,4458,"Lauderdale County, Alabama",NA,NA
"10","0500000US01081","Lee County, Alabama",3.3,6.2,22.7,17.4,12.2,18.4,19.8,"Lee County, Alabama","164542","84463","67785","2370","9924","Lee County, Alabama",153586,24444,"Lee County, Alabama",NA,NA,NA,NA,NA,"Lee County, Alabama",33.3,"Lee County, Alabama",6,"Lee County, Alabama",174241,111651,39570,720,8572,120,4392,9216,"Lee County, Alabama","7156","367"
